LidarMCplusplus.cpp input file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0425791
b(m^-1),0.104066
c(m^-1),0.146645
Dmin,0.1
Dmax,100
k,1e+21
Junge,4
bulk ref index,(1.05,0.005)
#photons,1000000
distance,signal,co,cross
0.36675,0.0198905,-0.000937184,0.0198556,0.000256238
0.37021,0.0193453,-0.000933723,0.01931,0.000247778
0.37367,0.018839,-0.000931148,0.0188035,0.00023837
0.37713,0.0183928,-0.000930612,0.018357,0.000232188
0.380589,0.0179515,-0.000928692,0.0179155,0.000230923
0.384049,0.0174549,-0.000922598,0.0174186,0.000232297
0.387509,0.0169322,-0.000914649,0.0168955,0.000230807
0.390969,0.0164189,-0.000907016,0.0163816,0.000223109
0.394429,0.0159897,-0.000903448,0.015952,0.000213619
0.397889,0.0155817,-0.000899948,0.0155436,0.000207051
0.401349,0.0151956,-0.000896956,0.0151571,0.000199399
0.404809,0.0148608,-0.000896125,0.014822,0.000193698
0.408269,0.0145331,-0.00089437,0.0144941,0.000192201
0.411729,0.014168,-0.000889322,0.0141287,0.000194298
0.415188,0.0137759,-0.000882232,0.0137362,0.000193908
0.418648,0.0133739,-0.000874332,0.0133336,0.000189803
0.422108,0.0130228,-0.000869318,0.0129821,0.00018111
0.425568,0.0127182,-0.000866417,0.0126771,0.000175017
0.429028,0.0124127,-0.000862713,0.0123713,0.000169859
0.432488,0.0121368,-0.00086052,0.012095,0.000163251
0.435948,0.0118923,-0.000859466,0.0118501,0.000159696
0.439408,0.0116451,-0.000857171,0.0116028,0.000159676
0.442868,0.0113614,-0.000851718,0.0113187,0.000161781
0.446328,0.0110641,-0.000845046,0.011021,0.000161377
0.449787,0.0107593,-0.000837715,0.0107155,0.000157912
0.453247,0.0104922,-0.000832822,0.010448,0.000150574
0.456707,0.0102656,-0.000830131,0.010221,0.0001453
0.460167,0.010035,-0.000826564,0.00998996,0.000141564
0.463627,0.00981728,-0.00082371,0.00977182,0.000136117
0.467087,0.00963306,-0.000822673,0.0095873,0.000132039
0.470547,0.00945018,-0.00082085,0.00940416,0.0001311
0.474007,0.00925242,-0.000817181,0.00920611,0.000133084
0.477467,0.00902747,-0.000811121,0.00898073,0.000133843
0.480927,0.00880015,-0.000804667,0.00875291,0.000133112
0.484387,0.00857574,-0.000798388,0.00852794,0.000128773
0.487846,0.00838701,-0.000794695,0.00833872,0.000122444
0.491306,0.00821912,-0.000792048,0.00817047,0.000118965
0.494766,0.00804482,-0.000788567,0.00799572,0.000116048
0.498226,0.00788252,-0.000785938,0.00783294,0.000111323
0.501686,0.00774632,-0.000784899,0.0076964,0.000107925
0.505146,0.00760969,-0.000783123,0.00755948,0.000107238
0.508606,0.00746454,-0.000780014,0.00741403,0.000108851
0.512066,0.00729576,-0.000774565,0.00724483,0.00011019
0.515526,0.00712641,-0.000768876,0.00707502,0.000109835
0.518986,0.00695219,-0.000762706,0.00690023,0.000107528
0.522445,0.00679781,-0.00075824,0.00674531,0.000102528
0.525905,0.00667126,-0.000755854,0.00661835,9.82831e-05
0.529365,0.00654229,-0.000752862,0.00648897,9.63057e-05
0.532825,0.00641132,-0.000749617,0.00635748,9.34827e-05
0.536285,0.00629737,-0.000747771,0.00624307,8.92916e-05
0.539745,0.00619804,-0.000746735,0.00614339,8.72522e-05
0.543205,0.00609512,-0.000744825,0.00604015,8.71206e-05
0.546665,0.00598452,-0.000741682,0.00592924,8.882e-05
0.550125,0.00585649,-0.000736615,0.00580076,9.00011e-05
0.553585,0.00572922,-0.000731449,0.00567302,8.97346e-05
0.557045,0.00559746,-0.000725792,0.00554071,8.82595e-05
0.560504,0.00547844,-0.000721426,0.00542114,8.4347e-05
0.563964,0.00538092,-0.00071897,0.00532316,8.02474e-05
0.567424,0.00528629,-0.000716437,0.00522812,7.86484e-05
0.570884,0.00518684,-0.000713334,0.00512816,7.68725e-05
0.574344,0.00509372,-0.000710882,0.00503449,7.35905e-05
0.577804,0.00501724,-0.000709847,0.00495758,7.06971e-05
0.581264,0.00494284,-0.000708571,0.00488282,6.99844e-05
0.584724,0.00486493,-0.000706497,0.00480458,7.03817e-05
0.588184,0.00477774,-0.000703021,0.00471703,7.22078e-05
0.591644,0.00468028,-0.000698265,0.0046191,7.2901e-05
0.595103,0.00458488,-0.000693571,0.00452323,7.27229e-05
0.598563,0.00448572,-0.000688465,0.00442352,7.14319e-05
0.602023,0.00439674,-0.000684551,0.00433396,6.81742e-05
0.605483,0.00432332,-0.000682221,0.00426006,6.46865e-05
0.608943,0.00425331,-0.000679971,0.00418963,6.34183e-05
0.612403,0.0041785,-0.00067711,0.00411431,6.22134e-05
0.615863,0.00410618,-0.000674582,0.00404141,5.98094e-05
0.619323,0.00404578,-0.000673308,0.0039805,5.68743e-05
0.622783,0.00399147,-0.000672398,0.00392578,5.56747e-05
0.626243,0.0039343,-0.000670798,0.00386821,5.57071e-05
0.629702,0.00387472,-0.000668522,0.00380828,5.67063e-05
0.633162,0.00380505,-0.000664749,0.00373819,5.82298e-05
0.636622,0.0037319,-0.000660421,0.00366457,5.84365e-05
0.640082,0.00365993,-0.00065609,0.00359212,5.84185e-05
0.643542,0.00358582,-0.000651562,0.00351743,5.70611e-05
0.647002,0.00352048,-0.000648206,0.00345152,5.42681e-05
0.650462,0.00346631,-0.000646134,0.00339686,5.14569e-05
