LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.247962
b(m^-1),0.508313
c(m^-1),0.756275
Junge,4
bulk ref index,(1.05,0.006)
#photons,10000000
distance,signal,co,cross,nScat,angleDet
1.7518,0.303637,0.00151115,0.302126,6,0.028736
0.259231,0.451755,0.397136,0.054619,4,0.0280369
0.42017,0.451755,0.451172,0.000582618,4,0.161693
1.40168,0.303637,0.257203,0.0464332,6,0.160954
2.32283,0.137169,0.0158139,0.121355,10,0.0263804
0.936486,0.451755,0.0434976,0.408257,4,0.144582
1.15306,0.303637,0.00555714,0.29808,6,0.155029
1.86396,0.204082,0.00092199,0.20316,8,0.00169348
1.35154,0.672127,0.671484,0.000643044,2,0.0592366
1.45543,0.204082,0.198455,0.00562775,8,0.0422085
1.09628,0.451755,0.440146,0.011609,4,0.118733
0.0864984,0.672127,0.671408,0.000719479,2,0.112511
2.08927,0.137169,0.122327,0.014842,10,0.0162841
0.869632,0.451755,0.00840562,0.443349,4,0.0247615
0.864056,0.672127,0.671443,0.000684092,2,0.171488
1.35541,0.451755,0.365106,0.0866484,4,0.0448178
0.0651979,0.672127,0.671689,0.00043834,2,0.135132
0.0386873,0.672127,0.670954,0.00117355,2,0.173652
0.977306,0.0921952,0.0383888,0.0538064,12,0.14303
0.765419,0.451755,0.0184136,0.433341,4,0.00566791
2.38419,0.303637,0.293507,0.0101299,6,0.0404702
1.04318,0.451755,0.416667,0.035088,4,0.0145787
0.725164,0.303637,0.188063,0.115574,6,0.0116524
0.422934,0.672127,0.671464,0.000662605,2,0.171351
1.2166,0.303637,0.0733187,0.230318,6,0.0767469
0.157417,0.672127,0.672015,0.000112213,2,0.0730532
0.384432,0.672127,0.671246,0.000881331,2,0.165611
0.874512,0.451755,0.0380829,0.413672,4,0.0211066
0.841416,0.303637,0.301479,0.00215813,6,0.0891339
0.561529,0.672127,0.671471,0.000656218,2,0.171309
1.91326,0.303637,0.126801,0.176835,6,0.0642476
2.0995,0.0921952,0.0770965,0.0150987,12,0.0456337
0.0291731,0.672127,0.671596,0.00053157,2,0.090878
0.488279,0.672127,0.671441,0.000686,2,0.159375
1.67465,0.672127,0.670961,0.00116562,2,0.0408129
0.0817151,0.303637,0.00676112,0.296876,6,0.154387
3.80166,0.0416496,0.0110376,0.030612,16,0.00569644
1.175,0.204082,0.0420293,0.162053,8,0.14854
0.866518,0.672127,0.671384,0.000743093,2,0.143412
0.983173,0.451755,0.0313785,0.420376,4,0.0883527
0.959264,0.672127,0.67167,0.000457129,2,0.115524
0.412874,0.672127,0.671016,0.00111089,2,0.0409981
1.10275,0.303637,0.259085,0.0445521,6,0.0739963
0.295459,0.451755,0.409048,0.0427067,4,0.0493295
0.477107,0.672127,0.672027,0.000100439,2,0.096252
0.752259,0.451755,0.0666539,0.385101,4,0.125907
0.975654,0.672127,0.671705,0.000421808,2,0.115888
1.87225,0.204082,0.104913,0.099169,8,0.0370908
0.255811,0.672127,0.671872,0.000255247,2,0.0229244
0.787978,0.672127,0.67153,0.000596611,2,0.105807
0.217196,0.451755,0.41548,0.0362744,4,0.0480009
0.33307,0.451755,0.00198898,0.449766,4,0.0577975
0.411686,0.451755,0.244477,0.207278,4,0.0513817
1.49141,0.451755,0.451204,0.00055127,4,0.161127
0.644797,0.451755,0.139057,0.312697,4,0.164635
2.2297,0.137169,0.0850625,0.0521068,10,0.128639
8.86017,0.0619669,0.0559988,0.00596811,14,0.066256
3.5979,0.0619669,0.0586978,0.00326907,14,0.00978237
0.552674,0.672127,0.671103,0.00102419,2,0.162242
3.80561,0.0619669,0.0450892,0.0168777,14,0.0257952
0.758337,0.672127,0.671186,0.000941193,2,0.161246
4.0457,0.137169,0.00214135,0.135028,10,0.0312976
0.297506,0.672127,0.671774,0.000353386,2,0.116616
0.849924,0.672127,0.670962,0.00116465,2,0.0407981
0.283698,0.672127,0.671867,0.000260518,2,0.0938069
1.21837,0.451755,0.118984,0.332771,4,0.106523
1.55006,0.451755,0.129295,0.32246,4,0.0275934
0.786369,0.672127,0.671415,0.000711763,2,0.152433
0.516163,0.672127,0.671279,0.000847748,2,0.0838303
1.0957,0.204082,0.200851,0.0032317,8,0.0267364
0.00881401,0.672127,0.671597,0.000529893,2,0.153694
0.84569,0.672127,0.671682,0.000445452,2,0.115645
0.438448,0.303637,0.14931,0.154327,6,0.110345
1.0666,0.303637,0.24336,0.0602763,6,0.153404
0.284952,0.672127,0.672058,6.93436e-05,2,0.0668298
0.757117,0.451755,0.428428,0.0233265,4,0.127431
1.90903,0.672127,0.67096,0.00116756,2,0.0520162
0.655374,0.451755,0.357636,0.094119,4,0.108647
0.553815,0.672127,0.671437,0.00068968,2,0.0888637
1.41234,0.204082,0.00136293,0.202719,8,0.0170384
0.502182,0.451755,0.115116,0.336639,4,0.134568
0.248411,0.672127,0.670967,0.00115988,2,0.14916
0.376134,0.672127,0.671738,0.000389371,2,0.156311
1.05043,0.672127,0.671866,0.000261148,2,0.102277
0.0307785,0.672127,0.671286,0.000840774,2,0.0854595
0.925604,0.672127,0.670869,0.00125759,2,0.0452102
0.308956,0.451755,0.279033,0.172722,4,0.0672868
1.43415,0.672127,0.672102,2.53566e-05,2,0.0706057
0.339497,0.672127,0.67116,0.000966913,2,0.164805
0.438985,0.672127,0.671518,0.000609246,2,0.0899571
1.07567,0.672127,0.671884,0.00024336,2,0.0940216
0.863073,0.672127,0.671386,0.000741356,2,0.128888
0.509519,0.672127,0.671657,0.000469608,2,0.157633
0.134075,0.451755,0.355775,0.0959797,4,0.169225
3.0397,0.137169,0.0740931,0.0630762,10,0.116563
0.369612,0.672127,0.671934,0.000192762,2,0.118732
0.273935,0.451755,0.293009,0.158746,4,0.173934
1.86904,0.204082,0.109256,0.0948264,8,0.164331
2.71672,0.0619669,0.0123888,0.0495781,14,0.163277
1.70876,0.0619669,0.0556299,0.00633705,14,0.00792348
0.201841,0.672127,0.671912,0.000214843,2,0.122826
0.826339,0.303637,0.101437,0.202199,6,0.128496
2.77876,0.204082,0.0874768,0.116606,8,0.0333249
0.364699,0.672127,0.671108,0.00101864,2,0.162149
1.31514,0.137169,0.00638055,0.130789,10,0.0270711
0.63152,0.672127,0.671492,0.00063521,2,0.167506
0.492389,0.672127,0.671151,0.000976086,2,0.172924
0.540663,0.451755,0.086616,0.365139,4,0.0638271
0.0502304,0.672127,0.671105,0.00102222,2,0.15039
1.05428,0.672127,0.671367,0.000760399,2,0.111734
1.3492,0.303637,0.00213999,0.301497,6,0.164046
2.04682,0.137169,0.124331,0.0128387,10,0.0205801
0.320323,0.672127,0.671572,0.000555075,2,0.105372
0.834454,0.672127,0.672053,7.40456e-05,2,0.0722095
1.23888,0.672127,0.670964,0.00116319,2,0.0407758
1.09224,0.451755,0.432666,0.0190892,4,0.124586
0.216565,0.672127,0.672031,9.60213e-05,2,0.072739
4.44239,0.137169,0.0982148,0.0389545,10,0.00954577
1.4455,0.303637,0.299137,0.00449922,6,0.101304
0.350867,0.672127,0.672121,6.20066e-06,2,0.011241
2.06881,0.204082,0.0673276,0.136755,8,0.0425404
1.30761,0.137169,0.13195,0.00521885,10,0.0303569
3.17324,0.451755,0.444638,0.00711729,4,0.0414857
0.333596,0.451755,0.4304,0.0213544,4,0.172083
1.22427,0.672127,0.671331,0.000795757,2,0.109106
4.42728,0.0619669,0.0250745,0.0368924,14,0.120758
0.640206,0.303637,0.0498999,0.253737,6,0.143969
0.743748,0.204082,0.0582525,0.14583,8,0.0565059
0.266068,0.204082,0.0059537,0.198129,8,0.107531
3.00547,0.204082,0.203192,0.000890435,8,0.0505175
2.53227,0.0921952,0.0667953,0.0253999,12,0.0977397
1.70386,0.451755,0.141445,0.31031,4,0.0724621
1.31913,0.451755,0.416116,0.0356387,4,0.067901
0.345238,0.451755,0.241786,0.209969,4,0.0838325
0.389626,0.672127,0.671511,0.000616222,2,0.133352
0.760285,0.303637,0.121437,0.1822,6,0.0515189
1.79533,0.137169,0.0272105,0.109959,10,0.0587309
1.26355,0.137169,0.0367512,0.100418,10,0.140545
1.06349,0.303637,0.246368,0.0572691,6,0.0963095
1.63865,0.204082,0.202841,0.001241,8,0.14686
0.279284,0.672127,0.67097,0.00115741,2,0.14919
3.24891,0.303637,0.0430717,0.260565,6,0.0356539
0.144637,0.672127,0.671503,0.000623953,2,0.158929
2.15318,0.451755,0.13248,0.319275,4,0.0187906
0.558769,0.451755,0.133862,0.317893,4,0.164773
2.07804,0.451755,0.00524493,0.44651,4,0.0559325
1.66052,0.204082,0.0512167,0.152866,8,0.0958651
3.15615,0.137169,0.125803,0.011366,10,0.169239
0.217539,0.672127,0.671457,0.000670171,2,0.127741
0.229702,0.672127,0.671413,0.000714217,2,0.128377
0.22718,0.672127,0.671712,0.000415236,2,0.135377
0.154918,0.672127,0.671911,0.000216002,2,0.118338
1.18796,0.451755,0.427777,0.0239775,4,0.146237
0.382365,0.672127,0.671545,0.000582111,2,0.142407
1.13738,0.137169,0.0651131,0.0720562,10,0.135553
1.10757,0.303637,0.260246,0.043391,6,0.0117978
2.13641,0.204082,0.164743,0.0393395,8,0.0345356
1.08399,0.303637,0.141188,0.162449,6,0.0378733
0.546545,0.672127,0.671353,0.000774252,2,0.171993
1.77067,0.204082,0.19905,0.00503261,8,0.0232344
0.0843644,0.672127,0.671891,0.000236394,2,0.138471
4.34086,0.0619669,0.0122842,0.0496827,14,0.0760685
0.700466,0.451755,0.0142187,0.437536,4,0.124024
0.317445,0.303637,0.000277591,0.303359,6,0.0957783
2.37722,0.204082,0.19867,0.00541247,8,0.0872915
0.0397448,0.672127,0.671973,0.00015425,2,0.0737701
0.0205931,0.672127,0.671077,0.00105058,2,0.163298
0.53866,0.303637,0.296288,0.00734846,6,0.0654436
1.48754,0.303637,0.302349,0.00128767,6,0.0805943
0.291111,0.672127,0.671588,0.000539573,2,0.168629
0.84565,0.672127,0.671863,0.000264199,2,0.0231313
1.95916,0.303637,0.235411,0.0682261,6,0.0423811
2.76007,0.0921952,0.00586591,0.0863293,12,0.0260541
0.795684,0.303637,0.0148934,0.288743,6,0.116559
0.255894,0.672127,0.671731,0.000395806,2,0.103686
2.44727,0.204082,0.00791328,0.196169,8,0.082045
1.64897,0.303637,0.211019,0.0926176,6,0.0558735
2.33534,0.303637,0.00633578,0.297301,6,0.0127257
1.68939,0.451755,0.399049,0.0527058,4,0.105707
0.614934,0.451755,0.410737,0.0410176,4,0.166299
0.0681947,0.672127,0.671863,0.000264067,2,0.0635088
4.71005,0.0921952,0.092135,6.017e-05,12,0.0336596
0.00292114,0.672127,0.672065,6.17001e-05,2,0.0978353
0.788016,0.672127,0.671589,0.000537819,2,0.153631
0.418554,0.672127,0.672047,7.9876e-05,2,0.0169717
0.200613,0.672127,0.671392,0.000735144,2,0.112245
1.43173,0.204082,0.00719967,0.196883,8,0.107244
0.116091,0.672127,0.671848,0.000278752,2,0.117475
0.221865,0.672127,0.671517,0.000610095,2,0.142586
1.0792,0.451755,0.387847,0.0639077,4,0.00930333
0.960291,0.672127,0.671486,0.000641372,2,0.113506
0.662235,0.672127,0.671863,0.000263759,2,0.123493
0.312225,0.451755,0.18109,0.270664,4,0.16647
0.879169,0.451755,0.331229,0.120526,4,0.135631
0.335642,0.672127,0.671609,0.000517996,2,0.16923
0.712878,0.451755,0.307526,0.144229,4,0.0670202
2.19712,0.451755,0.451522,0.000232684,4,0.0152037
0.963003,0.451755,0.42095,0.0308047,4,0.158567
4.08855,0.0279938,0.0266024,0.0013914,18,0.0279266
1.19378,0.303637,0.00426418,0.299372,6,0.118887
3.84644,0.137169,0.135819,0.00134995,10,0.123868
0.0204096,0.672127,0.671363,0.000763938,2,0.0819155
2.75915,0.451755,0.312907,0.138848,4,0.124191
4.2084,0.204082,0.000192441,0.20389,8,0.16844
0.757889,0.451755,0.0446501,0.407105,4,0.0932134
0.969612,0.451755,0.449433,0.00232198,4,0.118362
0.0706515,0.672127,0.671317,0.000809794,2,0.0827924
0.336715,0.451755,0.427702,0.024053,4,0.0917044
0.603414,0.672127,0.672018,0.000108897,2,0.100052
0.831397,0.303637,0.0602493,0.243387,6,0.146323
0.130977,0.672127,0.67157,0.000557035,2,0.170459
2.42493,0.137169,0.0255004,0.111669,10,0.0489021
4.85394,0.0416496,0.0319073,0.00974236,16,0.0197025
0.422575,0.451755,0.0124056,0.439349,4,0.136801
0.1765,0.672127,0.671711,0.000415851,2,0.0920091
1.31169,0.303637,0.150211,0.153426,6,0.106488
0.12194,0.451755,0.119713,0.332041,4,0.0153387
0.587845,0.451755,0.307388,0.144367,4,0.126826
1.2617,0.204082,0.0179827,0.1861,8,0.0252472
0.473664,0.451755,0.449623,0.00213141,4,0.173378
0.378725,0.303637,0.18656,0.117077,6,0.154954
1.0845,0.451755,0.07466,0.377095,4,0.169353
1.21303,0.672127,0.671858,0.000268813,2,0.093705
0.60926,0.451755,0.303864,0.14789,4,0.048834
0.392991,0.672127,0.671494,0.000632986,2,0.0593568
6.25472,0.137169,0.0181798,0.11899,10,0.0456486
0.0878272,0.672127,0.671877,0.00025002,2,0.13922
0.58957,0.672127,0.671684,0.000442939,2,0.141462
0.449737,0.672127,0.67174,0.000387033,2,0.155656
4.92646,0.0619669,0.0422842,0.0196827,14,0.147985
1.96376,0.137169,0.00876505,0.128404,10,0.0539856
0.556348,0.303637,0.0707018,0.232935,6,0.101171
1.68778,0.137169,0.0897198,0.0474495,10,0.038968
0.539198,0.303637,0.0165478,0.287089,6,0.148092
1.40238,0.451755,0.233562,0.218193,4,0.0524691
3.46455,0.0416496,0.00676691,0.0348827,16,0.0963195
1.77232,0.137169,0.120355,0.016814,10,0.0877271
0.145036,0.451755,0.158401,0.293354,4,0.0430577
0.739916,0.303637,0.0175157,0.286121,6,0.0217133
2.05609,0.0921952,0.00242879,0.0897664,12,0.0399588
0.141196,0.672127,0.671965,0.000161693,2,0.0738862
2.10963,0.451755,0.0228402,0.428915,4,0.0591483
4.80136,0.303637,0.241212,0.0624248,6,0.00833083
1.23822,0.451755,0.118824,0.332931,4,0.115037
1.51271,0.303637,0.298799,0.00483745,6,0.0816572
0.164332,0.672127,0.671484,0.000643248,2,0.133054
1.45907,0.451755,0.330004,0.121751,4,0.0331421
0.283785,0.672127,0.672075,5.24268e-05,2,0.0673026
0.291567,0.672127,0.671505,0.00062191,2,0.171064
2.51685,0.137169,0.0190501,0.118119,10,0.054622
0.929976,0.451755,0.0578596,0.393895,4,0.0537735
2.6206,0.0416496,0.0157337,0.0259159,16,0.0695702
0.0585531,0.672127,0.671483,0.000644154,2,0.167425
1.3177,0.451755,0.427072,0.0246833,4,0.128584
1.5555,0.137169,0.13701,0.000159044,10,0.0678517
0.293632,0.204082,0.0397439,0.164339,8,0.0668619
0.186922,0.672127,0.671284,0.000843552,2,0.0836836
0.336063,0.672127,0.67168,0.000447476,2,0.0775236
1.87889,0.303637,0.289736,0.0139011,6,0.135361
0.232639,0.672127,0.671319,0.000808496,2,0.109775
0.109283,0.451755,0.373895,0.0778596,4,0.166318
3.94844,0.204082,0.135935,0.0681475,8,0.0237324
1.19015,0.303637,0.00254964,0.301087,6,0.0763563
0.349197,0.303637,0.143366,0.160271,6,0.145637
0.504501,0.451755,0.450981,0.000774015,4,0.112457
0.372842,0.672127,0.67139,0.000737348,2,0.131714
0.436005,0.303637,0.0406718,0.262965,6,0.121365
0.259763,0.672127,0.671813,0.000314395,2,0.136524
2.91179,0.303637,0.0861805,0.217456,6,0.106918
0.463207,0.451755,0.0671816,0.384573,4,0.152722
1.10689,0.672127,0.671885,0.000242553,2,0.117947
3.08322,0.0188154,0.00297636,0.0158391,20,0.045416
0.428714,0.451755,0.175063,0.276691,4,0.165334
1.14382,0.451755,0.372108,0.0796465,4,0.0705287
0.215105,0.672127,0.671725,0.000402026,2,0.156676
1.65334,0.137169,0.112385,0.0247843,10,0.110808
0.128459,0.672127,0.671722,0.000405476,2,0.116058
0.442916,0.451755,0.425528,0.0262267,4,0.159742
1.94768,0.0921952,0.00449337,0.0877019,12,0.120124
0.183643,0.672127,0.671802,0.000324622,2,0.102966
1.16336,0.451755,0.105416,0.346339,4,0.0906985
2.29876,0.204082,0.0664232,0.137659,8,0.0236079
0.734475,0.451755,0.450977,0.000778127,4,0.0446698
0.32324,0.672127,0.671159,0.00096812,2,0.164792
0.738893,0.303637,0.0684304,0.235206,6,0.0485199
0.68024,0.672127,0.671933,0.000194297,2,0.118703
