LidarMCplusplus.cpp input file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.00425791
b(m^-1),0.0104066
c(m^-1),0.0146645
Dmin,0.1
Dmax,100
k,1e+20
Junge,4
bulk ref index,(1.05,0.005)
#photons,100000
distance,signal,co,cross
0.339071,0.00270938,-0.000108465,0.00270583,3.12676e-05
0.34253,0.00263445,-0.000108367,0.00263085,3.00872e-05
0.34599,0.00256324,-0.000108269,0.00255959,2.89689e-05
0.34945,0.00250091,-0.000108446,0.00249723,2.79763e-05
0.35291,0.00244186,-0.000108606,0.00243814,2.7552e-05
0.35637,0.00237865,-0.000108376,0.00237488,2.76318e-05
0.35983,0.00231042,-0.000107823,0.00230659,2.75165e-05
0.36329,0.00224169,-0.000107213,0.0022378,2.67584e-05
0.36675,0.00218305,-0.000107048,0.0021791,2.56238e-05
0.37021,0.0021283,-0.000106943,0.0021243,2.47778e-05
0.37367,0.00207744,-0.00010693,0.00207339,2.3837e-05
0.37713,0.00203258,-0.000107122,0.00202849,2.32188e-05
0.380589,0.00198822,-0.000107177,0.00198409,2.30923e-05
0.384049,0.00193833,-0.000106816,0.00193414,2.32297e-05
0.387509,0.00188581,-0.000106273,0.00188157,2.30807e-05
0.390969,0.00183424,-0.000105762,0.00182991,2.23109e-05
0.394429,0.00179107,-0.00010566,0.00178669,2.13619e-05
0.397889,0.00175003,-0.000105567,0.00174559,2.07051e-05
0.401349,0.00171118,-0.000105525,0.00170668,1.99399e-05
0.404809,0.00167744,-0.000105702,0.0016729,1.93698e-05
0.408269,0.00164442,-0.000105788,0.00163983,1.92201e-05
0.411729,0.00160766,-0.000105547,0.00160302,1.94298e-05
0.415188,0.0015682,-0.000105103,0.00156349,1.93908e-05
0.418648,0.00152774,-0.00010458,0.00152295,1.89803e-05
0.422108,0.00149238,-0.000104347,0.00148751,1.8111e-05
0.425568,0.00146167,-0.000104327,0.00145673,1.75017e-05
0.429028,0.00143086,-0.000104228,0.00142586,1.69859e-05
0.432488,0.00140301,-0.000104282,0.00139794,1.63251e-05
0.435948,0.00137829,-0.000104452,0.00137317,1.59696e-05
0.439408,0.00135331,-0.0001045,0.00134813,1.59676e-05
0.442868,0.00132467,-0.000104233,0.00131944,1.61781e-05
0.446328,0.00129467,-0.000103846,0.00128937,1.61377e-05
0.449787,0.00126393,-0.000103394,0.00125852,1.57912e-05
0.453247,0.00123696,-0.000103188,0.00123147,1.50574e-05
0.456707,0.00121401,-0.000103205,0.00120847,1.453e-05
0.460167,0.00119068,-0.000103134,0.00118505,1.41564e-05
0.463627,0.00116864,-0.000103137,0.00116293,1.36117e-05
0.467087,0.00114994,-0.000103323,0.00114417,1.32039e-05
0.470547,0.00113137,-0.000103431,0.00112555,1.311e-05
0.474007,0.00111132,-0.000103357,0.00110543,1.33084e-05
0.477467,0.00108854,-0.000103045,0.00108257,1.33843e-05
0.480927,0.00106553,-0.000102695,0.00105947,1.33112e-05
0.484387,0.0010428,-0.000102364,0.00103665,1.28773e-05
0.487846,0.00102365,-0.000102293,0.00101741,1.22444e-05
0.491306,0.00100657,-0.000102329,0.00100026,1.18965e-05
0.494766,0.000988856,-0.000102282,0.000982452,1.16048e-05
0.498226,0.000972338,-0.000102322,0.00096585,1.11323e-05
0.501686,0.00095843,-0.000102523,0.000951863,1.07925e-05
0.505146,0.000944479,-0.00010265,0.000937838,1.07238e-05
0.508606,0.000929667,-0.000102647,0.000922951,1.08851e-05
0.512066,0.000912501,-0.00010241,0.000905698,1.1019e-05
0.515526,0.000895269,-0.000102151,0.000888375,1.09835e-05
0.518986,0.00087755,-0.000101845,0.000870554,1.07528e-05
0.522445,0.000861815,-0.000101711,0.00085472,1.02528e-05
0.525905,0.000848863,-0.000101786,0.000841673,9.82831e-06
0.529365,0.000835669,-0.000101802,0.000828393,9.63057e-06
0.532825,0.000822275,-0.000101793,0.000814893,9.34827e-06
0.536285,0.000810574,-0.000101927,0.000803101,8.92916e-06
0.539745,0.000800344,-0.000102142,0.000792773,8.72522e-06
0.543205,0.000789746,-0.000102271,0.000782089,8.71206e-06
0.546665,0.00077838,-0.000102278,0.000770647,8.882e-06
0.550125,0.000765271,-0.000102093,0.00075743,9.00011e-06
0.553585,0.000752238,-0.000101901,0.000744296,8.97346e-06
0.557045,0.000738756,-0.00010166,0.000730705,8.82595e-06
0.560504,0.000726539,-0.000101549,0.000718379,8.4347e-06
0.563964,0.000716481,-0.000101631,0.000708212,8.02474e-06
0.567424,0.000706703,-0.000101705,0.00069833,7.86484e-06
0.570884,0.000696452,-0.000101725,0.000687965,7.68725e-06
0.574344,0.000686825,-0.000101811,0.00067822,7.35905e-06
0.577804,0.000678862,-0.000102038,0.000670151,7.06971e-06
0.581264,0.000671107,-0.000102244,0.000662297,6.99844e-06
0.584724,0.000663001,-0.00010237,0.000654095,7.03817e-06
0.588184,0.000653967,-0.000102357,0.000644953,7.22078e-06
0.591644,0.000643897,-0.000102218,0.000634773,7.2901e-06
0.595103,0.000634042,-0.000102085,0.000624799,7.27229e-06
0.598563,0.000623802,-0.000101913,0.000614441,7.14319e-06
0.602023,0.000614589,-0.000101859,0.000605089,6.81742e-06
0.605483,0.000606923,-0.000101967,0.000597303,6.46865e-06
0.608943,0.000599598,-0.000102083,0.000589864,6.34183e-06
0.612403,0.000591793,-0.000102138,0.000581936,6.22134e-06
0.615863,0.000584237,-0.000102228,0.00057425,5.98094e-06
0.619323,0.000577873,-0.000102444,0.000567754,5.68743e-06
0.622783,0.000572118,-0.000102698,0.000561877,5.56747e-06
0.626243,0.000566077,-0.000102883,0.000555715,5.57071e-06
0.629702,0.000559795,-0.000103002,0.000549317,5.67063e-06
0.633162,0.000552495,-0.000102972,0.000541894,5.82298e-06
0.636622,0.000544856,-0.000102886,0.000534118,5.84365e-06
0.640082,0.000537326,-0.000102802,0.000526459,5.84185e-06
0.643542,0.000529591,-0.000102699,0.000518576,5.70611e-06
0.647002,0.000522724,-0.000102713,0.000511571,5.42681e-06
0.650462,0.000516974,-0.000102858,0.000505682,5.14569e-06
0.653922,0.000511417,-0.000103003,0.000499991,5.05404e-06
0.657382,0.000505455,-0.00010309,0.000493886,4.96987e-06
0.660842,0.000499614,-0.000103202,0.000487894,4.78894e-06
0.664302,0.000494547,-0.000103413,0.000482669,4.531e-06
0.667761,0.000490182,-0.000103694,0.000478159,4.38253e-06
0.671221,0.000485715,-0.000103933,0.000473549,4.36246e-06
