LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0550804
b(m^-1),0.599519
c(m^-1),0.6546
Junge,4
bulk ref index,(1.05,0.001)
#photons,10000000
distance,signal,co,cross,nScat,angleDet
0.0915105,0.915856,0.764542,0.151314,1,0.148174
2.24261,0.838793,0.736036,0.102757,2,0.0715225
0.354957,0.915856,0.868768,0.0470884,1,0.14651
0.128958,0.838793,0.41112,0.427673,2,0.145486
0.34639,0.915856,0.453463,0.462393,1,0.0481534
0.140861,0.915856,0.53184,0.384016,1,0.082891
0.121678,0.915856,0.691735,0.224121,1,0.0944344
1.27732,0.915856,0.779978,0.135878,1,0.0961775
0.99319,0.915856,0.904427,0.0114296,1,0.0997475
0.297159,0.915856,0.912757,0.00309965,1,0.101748
0.388958,0.838793,0.486681,0.352112,2,0.150424
0.734285,0.915856,0.519547,0.396309,1,0.132445
0.0713124,0.838793,0.650438,0.188355,2,0.152984
0.402081,0.915856,0.482995,0.432862,1,0.0527475
0.805382,0.838793,0.404562,0.434231,2,0.130683
0.307059,0.838793,0.4717,0.367093,2,0.0427803
3.90818,0.703573,0.340911,0.362663,4,0.129735
0.643187,0.838793,0.41994,0.418853,2,0.112906
0.526186,0.915856,0.494864,0.420992,1,0.0898376
0.659965,0.768214,0.355801,0.412413,3,0.097909
0.130557,0.915856,0.907828,0.00802852,1,0.0718054
0.264923,0.915856,0.914355,0.00150086,1,0.144905
0.63478,0.838793,0.658756,0.180037,2,0.159588
0.585511,0.768214,0.451443,0.316771,3,0.163871
1.96504,0.703573,0.366894,0.33668,4,0.062038
0.241176,0.915856,0.473276,0.44258,1,0.0520338
1.05921,0.768214,0.344141,0.424073,3,0.0449304
0.779989,0.838793,0.398967,0.439826,2,0.149808
0.0812948,0.915856,0.914869,0.000987817,1,0.0075974
0.924318,0.768214,0.164413,0.6038,3,0.0625582
3.55425,0.495016,0.252678,0.242337,8,0.174123
0.00817359,0.915856,0.712059,0.203797,1,0.174514
1.0023,0.838793,0.219169,0.619624,2,0.139114
5.69961,0.540495,0.264097,0.276397,7,0.0562914
0.08985,0.915856,0.915723,0.000133567,1,0.00581076
1.47762,0.838793,0.0554504,0.783342,2,0.00585901
1.58532,0.838793,0.735445,0.103347,2,0.0710284
1.54258,0.768214,0.528042,0.240171,3,0.106871
0.918893,0.838793,0.234415,0.604378,2,0.145805
0.220199,0.915856,0.511538,0.404319,1,0.1516
2.02145,0.838793,0.268981,0.569812,2,0.133585
0.684967,0.838793,0.455858,0.382935,2,0.0519403
0.879749,0.838793,0.41313,0.425662,2,0.148662
0.155215,0.915856,0.882693,0.0331638,1,0.0987851
0.514515,0.915856,0.908057,0.00779962,1,0.162861
0.648795,0.915856,0.580708,0.335148,1,0.0570776
0.919407,0.838793,0.588318,0.250475,2,0.0713985
0.769328,0.703573,0.347741,0.355833,4,0.151179
1.61974,0.915856,0.509899,0.405958,1,0.0423467
4.08722,0.644372,0.290574,0.353798,5,0.112866
0.11879,0.838793,0.142124,0.696669,2,0.159953
0.564674,0.768214,0.370237,0.397977,3,0.121349
